,Titulo,Direccion,Precio,Superficie_total
0,"Ph - Alquiler - Argentina, General San Martín - FRIAS 47",FRIAS 0,15500,45
1,Deposito en alquiler - NO APTO VIVIENDA,Domingo F Sarmiento 2000,25000,100
2,PH PLANTA BAJA AL FONDO DE 2 AMBIENTES CON PATIO,B Rivadavia 2600,24000,
3,PH 2 ambientes c/patio- J. L. Suarez,"San Jose 1600, Jose Leon Suarez, General San Martin",14000,
4,"PH, ALQUILER, PLANTA ALTA ","Emilio Zola 6500, Jose Leon Suarez, General San Martin",14000,40
5,Departamento - Munro-Este,"Amador 3800, Munro-Este, Munro",17000,
6,PH AL FDO 2 AMB ,"Adolfo Bellocq 3100, Piso PH, Olivos, Vicente Lopez",13000,30
7,PH 3 AMBIENTES EN PLANTA BAJA,"RAFAEL OBLIGADO 6300, Carapachay, Vicente Lopez",25000,
8,V. BALLESTER  T/CASA PH 2 amb. 1° piso SIN EXPENSAS,"Lynch Pueyrredon 4400, Piso 1°, Villa Ballester, General San Martin",12000,
9,ALQUILER DE PH 2 AMBIENTES EN FLORIDA,"Lavalle 2200, Florida, Vicente Lopez",43000,112
10,"Ph - Alquiler - Argentina, Vicente López - Lavalle 2200","Lavalle 2200, Florida, Vicente Lopez",20000,33
11,"Ph de 3 ambientes, planta baja al frente sin expensas","Uriburu 4000, San Andres, General San Martin",18000,47
12,ALQUILER SAN ANDRÉS DEPTO. 2 1/2 AMB. 2° PISO X ESC. ,"Félix Ballester 2800, Piso 2°, San Andres, General San Martin",20000,52
13,Dos ambientes amplios y comodos con patio y jardin- Accesos proximos a Laprida- Gral Paz - Tecnopoli,"Mejico 4100, Villa Martelli, Vicente Lopez",20000,
14,PH monoambiente - Villa Martelli,"Las Heras al 4700, Villa Martelli, Vicente Lopez",15000,42
15,PH en Alquiler de 1 ambiente,"Lincoln 4800, General San Martin, Buenos Aires",9900,
16,PH 3 Ambientes en alquiler 1er piso en escalera.,"Azopardo 4900, Villa Bonich, General San Martin",20000,52
17,PH Al Frente Uso Profesional,"Francisco Berra 3000, San Isidro, Buenos Aires",24000,30
18,Amplio PH 2 ambientes 1* piso al frente con balcon corrido y terraza propia,"Posadas 3200, Piso 1, Villa Libertad, General San Martin",15000,50
19,MONOAMBIENTE EN EL CENTRO DE BOULOGNE!,"M Lebensohn 0, Piso 1, Boulogne, San Isidro",15000,20
